index name x y z l
241 EElayerCell_02.0108.2 4.84974 -1.68 14.7525 2
242 EElayerCell_02.0109.2 -4.84974 1.68 14.7525 2
243 EElayerCell_02.0110.2 -4.84974 -1.68 14.7525 2
244 EElayerCell_02.0111.2 4.84974 2.8 14.7525 2
245 EElayerCell_02.0112.2 4.84974 -2.8 14.7525 2
246 EElayerCell_02.0113.2 -4.84974 2.8 14.7525 2
247 EElayerCell_02.0114.2 -4.84974 -2.8 14.7525 2
248 EElayerCell_02.0115.2 4.84974 3.92 14.7525 2
249 EElayerCell_02.0116.2 4.84974 -3.92 14.7525 2
250 EElayerCell_02.0117.2 -4.84974 3.92 14.7525 2
251 EElayerCell_02.0118.2 -4.84974 -3.92 14.7525 2
252 EElayerCell_02.0119.2 5.81969 0 14.7525 2
253 EElayerCell_02.0120.2 -5.81969 0 14.7525 2
254 EElayerCell_02.0121.2 5.81969 1.12 14.7525 2
255 EElayerCell_02.0122.2 5.81969 -1.12 14.7525 2
256 EElayerCell_02.0123.2 -5.81969 1.12 14.7525 2
257 EElayerCell_02.0124.2 -5.81969 -1.12 14.7525 2
258 EElayerCell_02.0125.2 5.81969 2.24 14.7525 2
259 EElayerCell_02.0126.2 5.81969 -2.24 14.7525 2
260 EElayerCell_02.0127.2 -5.81969 2.24 14.7525 2
261 EElayerCell_02.0128.2 -5.81969 -2.24 14.7525 2
262 EElayerCell_02.0129.2 6.78964 0.56 14.7525 2
263 EElayerCell_02.0130.2 6.78964 -0.56 14.7525 2
264 EElayerCell_02.0131.2 -6.78964 0.56 14.7525 2
265 EElayerCell_02.0132.2 -6.78964 -0.56 14.7525 2
266 EElayerCell_03.0000.2 0 0 16.7675 3
267 EElayerCell_03.0001.2 0 1.12 16.7675 3
268 EElayerCell_03.0002.2 0 -1.12 16.7675 3
269 EElayerCell_03.0003.2 0 2.24 16.7675 3
270 EElayerCell_03.0004.2 0 -2.24 16.7675 3
271 EElayerCell_03.0005.2 0 3.36 16.7675 3
272 EElayerCell_03.0006.2 0 -3.36 16.7675 3
273 EElayerCell_03.0007.2 0 4.48 16.7675 3
274 EElayerCell_03.0008.2 0 -4.48 16.7675 3
275 EElayerCell_03.0009.2 0 5.6 16.7675 3
276 EElayerCell_03.0010.2 0 -5.6 16.7675 3
277 EElayerCell_03.0011.2 0.969948 0.56 16.7675 3
278 EElayerCell_03.0012.2 0.969948 -0.56 16.7675 3
279 EElayerCell_03.0013.2 -0.969948 0.56 16.7675 3
280 EElayerCell_03.0014.2 -0.969948 -0.56 16.7675 3
281 EElayerCell_03.0015.2 0.969948 1.68 16.7675 3
282 EElayerCell_03.0016.2 0.969948 -1.68 16.7675 3
